TimeGenerated,ResourceId,User,Event,Login_Type,IP Address,OS,Country,Severity
2023-04-25T12:30:00.000Z,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,user11@contoso.com,Failed MFA Authentication,SMS,10.0.0.11,,,
2023-04-25T12:31:15.000Z,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,user12@contoso.com,Failed MFA Authentication,Mobile App,10.0.0.12,,,
2023-04-25T12:32:30.000Z,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,user13@contoso.com,Failed MFA Authentication,Phone Call,10.0.0.13,,,
2023-04-25T12:33:45.000Z,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,user14@contoso.com,Failed MFA Authentication,SMS,10.0.0.14,,,
2023-04-25T12:35:00.000Z,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,user15@contoso.com,Failed MFA Authentication,Mobile App,10.0.0.15,,,
2023-04-25T12:36:15.000Z,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,user16@contoso.com,Failed MFA Authentication,Phone Call,10.0.0.16,,,
2023-04-25T12:37:30.000Z,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,user17@contoso.com,Failed MFA Authentication,SMS,10.0.0.17,,,
2023-04-25T12:38:45.000Z,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,user18@contoso.com,Failed MFA Authentication,Mobile App,10.0.0.18,,,
2023-04-25T12:40:00.000Z,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,user19@contoso.com,Failed MFA Authentication,Phone Call,10.0.0.19,,,
2023-04-25T12:41:15.000Z,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,user20@contoso.com,Failed MFA Authentication,SMS,10.0.0.20,,,
