TimeGenerated,ResourceId,UserID,Username,Role,Action,Resource,Justification
2023-04-15 10:32:17,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U001,john.doe@company.com,Developer,Revoke,Azure Web App,Project completion
2023-04-15 11:45:29,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U002,jane.smith@company.com,SysAdmin,Revoke,Azure Virtual Machine,Employee termination
2023-04-15 13:18:41,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U003,bob.johnson@company.com,DataAnalyst,Revoke,Azure SQL Database,Role change
2023-04-15 14:22:53,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U004,alice.williams@company.com,Developer,Revoke,Azure Kubernetes Service,Project completion
2023-04-15 16:37:09,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U005,tom.brown@company.com,SysAdmin,Revoke,Azure Active Directory,Employee termination
2023-04-16 9:15:22,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U006,sarah.davis@company.com,Developer,Revoke,Azure App Service,Project completion
2023-04-16 10:49:38,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U007,michael.wilson@company.com,DataAnalyst,Revoke,Azure Data Lake Storage,Role change
2023-04-16 12:27:51,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U008,emily.anderson@company.com,SysAdmin,Revoke,Azure Virtual Network,Infrastructure change
2023-04-16 14:03:14,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U009,david.thomas@company.com,Developer,Revoke,Azure DevOps,Project completion
2023-04-16 15:41:27,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U010,jessica.moore@company.com,DataAnalyst,Revoke,Azure Synapse Analytics,Role change
2023-04-17 8:22:39,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U011,matthew.taylor@company.com,SysAdmin,Revoke,Azure Security Center,Security audit
2023-04-17 10:08:51,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U012,ashley.brown@company.com,Developer,Revoke,Azure Functions,Project completion
2023-04-17 11:54:13,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U013,daniel.davis@company.com,DataAnalyst,Revoke,Azure Cosmos DB,Role change
2023-04-17 13:37:25,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U014,sophia.wilson@company.com,SysAdmin,Revoke,Azure Key Vault,Infrastructure change
2023-04-17 15:19:41,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U015,william.anderson@company.com,Developer,Revoke,Azure API Management,Project completion
